Title,Abstract,NCT ID
Gene Mutations in Patients With Advanced Prostate Cancer That Is Not Responsive to Hormone Therapy,RATIONALE  Gene mutations may make prostate cancer cells unable to attach to androgens  This       may permit the growth of prostate cancer  Gene testing may improve the identification of       patients with advanced prostate cancer         PURPOSE  Clinical trial to study the androgen receptor gene in patients with prostate cancer       that is not responsive to hormone therapy,NCT00002924
Surgery in Treating Patients With Prostate Cancer,RATIONALE  Prostatectomy may be an effective treatment for prostate cancer that has not       responded to radiation therapy         PURPOSE  This phase II trial is studying how well prostatectomy works in treating patients       with recurrent or persistent prostate cancer that has not responded to radiation therapy,NCT00002938
S9714  Paclitaxel in Treating Patients With Stage IIIB or Stage IV Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of chemotherapy with paclitaxel in       treating patients with stage IIIB or stage IV non small cell lung cancer,NCT00002969
PET Scan in Treating Patients With Metastatic Prostate Cancer,RATIONALE  New imaging procedures  such as PET scan  may improve the ability to detect new       or recurrent prostate cancer,NCT00002981
HER 2 Neu Vaccine Plus GM CSF in Treating Patients With Stage III or Stage IV Breast  Ovarian  or Non small Cell Lung Cancer,RATIONALE  Vaccines made from the HER2 neu antigen may make the body build an immune       response and kill tumor cells  Colony stimulating factors such as GM CSF increase the number       of immune cells found in bone marrow or peripheral blood         PURPOSE  Phase I trial to study the effectiveness of HER 2 neu vaccine plus GM CSF in       treating patients who have stage III or stage IV breast cancer  stage III or stage IV       ovarian cancer  or stage III or stage IV non small cell lung cancer,NCT00003002
Detection of Early Metastases in Patients With Stage I Non small Cell Lung Cancer,RATIONALE  Detecting very early metastases in bone marrow and or lymph nodes may help       doctors plan better treatment for non small cell lung cancer         PURPOSE  Clinical trial to detect the presence of metastatic cancer in patients with stage I       non small cell lung cancer that has not been previously treated,NCT00003006
Hormone Therapy in Treating Patients With Advanced Prostate Cancer,RATIONALE  Androgens can stimulate the growth of prostate cancer cells  Hormone therapy       using triptorelin may fight prostate cancer by reducing the production of androgens         PURPOSE  Randomized phase III trial to compare the effectiveness of long term hormone       therapy and triptorelin with no further treatment in treating patients who have advanced       prostate cancer previously treated with radiation therapy and 6 months of androgen       suppression,NCT00003026
Combination Chemotherapy as Induction Therapy in Treating Patients With Stage III Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase I II trial to study the effectiveness of combination chemotherapy with       docetaxel  gemcitabine  and cisplatin as induction therapy in treating patients with stage       III non small cell lung cancer,NCT00003037
Hyperthermia Plus Radiation Therapy in Treating Patients With Nonmetastatic Advanced Prostate Cancer,Hyperthermia therapy may kill prostate cancer cells by heating them to several degrees above       body temperature  Radiation therapy uses high energy x rays to damage tumor cells  Combining       hyperthermia with radiation therapy may kill more tumor cells         The purpose of this study is to determine the ability of hyperthermia when combined with       radiation therapy and in some patients hormonal therapy to control prostate cancer,NCT00003045
Combination Chemotherapy in Treating Patients With Stage I  II  or IIIA Non small Cell Lung Cancer That Has Been Surgically Removed,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Randomized phase III trial to compare cisplatin and etoposide with no chemotherapy       in treating patients who have stage I  stage II  or stage IIIA non small cell lung cancer       that has been surgically removed,NCT00003053
Temozolomide in Patients With Progressive or Recurrent Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effect of temozolomide in patients with progressive or       recurrent stage IV non small cell lung cancer  with or without brain metastases  who have       not been treated for metastatic disease with chemotherapy,NCT00003062
Combination Chemotherapy in Treating Patients With Metastatic Ovarian Cancer or Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug and giving the drugs in different       combinations may kill more tumor cells         PURPOSE  Randomized phase II double blinded trial to study the effectiveness of paclitaxel       and carboplatin given with either amifostine or placebo in patients with metastatic stage       III or stage IV ovarian cancer or metastatic stage III or stage IV non small cell lung       cancer,NCT00003072
Combination Chemotherapy With Ketoconazole in Treating Patients With Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Randomized phase II trial to study the effectiveness of combination chemotherapy       consisting of paclitaxel  etoposide  and estramustine as compared with ketoconazole plus       doxorubicin  vinblastine  and estramustine in treating patients with prostate cancer,NCT00003084
Chemotherapy  Amifostine  and Radiation Therapy in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Chemoprotective drugs  such as amifostine  may protect normal       cells from the side effects of chemotherapy  Radiation therapy uses high energy x rays to       damage tumor cells         PURPOSE  Phase II trial to study the effectiveness of paclitaxel  carboplatin  amifostine        and radiation therapy in treating patients who have unresectable locally advanced or       partially resected non small cell lung cancer,NCT00003089
Biological Therapy in Previously Treated Patients With Non small Cell Lung Cancer,RATIONALE  Interleukin 2 may stimulate a person s white blood cells to kill non small cell       lung cancer cells         PURPOSE  Phase II trial to study the effect of biological therapy with interleukin 2 in       patients with previously treated non small cell lung cancer,NCT00003090
Combination Chemotherapy in Treating Children With Neuroblastoma,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells        Combination chemotherapy plus surgery may be an effective treatment for neuroblastoma         PURPOSE  This phase III trial is studying how well combination chemotherapy followed by       surgery works in treating young patients with neuroblastoma,NCT00003093
Computer Planned Radiation Therapy in Treating Patients With Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to kill tumor cells  Computer systems       that allow doctors to create a 3 dimensional picture of the tumor in order to plan treatment       may result in more effective radiation therapy         PURPOSE  This phase II trial is studying how well radiation therapy that has been planned       with a computer works in treating patients with prostate cancer,NCT00003104
Combination Chemotherapy Followed by Surgery in Treating Patients With Stage IIIA Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of combination chemotherapy with       irinotecan and cisplatin followed by surgery in treating patients with stage IIIA non small       cell lung cancer,NCT00003111
Epidural Hydromorphone Compared With Hydromorphone Infusion in Treating Patients With Prostate Cancer Undergoing Radical Prostatectomy,RATIONALE  Giving hydromorphone in different ways may relieve the pain associated with       cancer surgery         PURPOSE  Randomized double blinded phase III trial to compare the effectiveness of epidural       hydromorphone with hydromorphone infusion in patients with prostate cancer undergoing       radical prostatectomy,NCT00003115
Paclitaxel With or Without Carboplatin in Treating Patients With Advanced Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Randomized phase III trial to compare the effectiveness of paclitaxel with or       without carboplatin in treating patients who have recurrent  stage IIIB  or stage IV       non small cell lung cancer,NCT00003117
Surgery in Treating Children With Neuroblastoma,RATIONALE  Surgery alone may be effective in treating children with neuroblastoma         PURPOSE  Phase III trial to study the effectiveness of surgery alone in treating children       who have neuroblastoma,NCT00003119
Surgery in Treating Patients With Neuroblastoma,RATIONALE  Surgery may be an effective treatment for neuroblastoma         PURPOSE  This phase II trial is studying how well surgery works in treating patients with       neuroblastoma,NCT00003122
Hormone Therapy Plus Radiation Therapy in Treating Patients With Prostate Cancer,RATIONALE  Androgens can stimulate the growth of prostate cancer cells  Hormone therapy       using leuprolide and flutamide may fight prostate cancer by reducing the production of       androgens  Combining radiation therapy with hormone therapy may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of hormone therapy plus radiation therapy       in treating patients with prostate cancer,NCT00003124
Gene Therapy in Treating Patients With Cancer of The Liver,Phase I trial to study the effectiveness of gene therapy with the p53 gene in treating       patients who have cancer of the liver that cannot be surgically removed  Inserting the p53       gene into a person s tumor may improve the body s ability to fight liver cancer,NCT00003147
Chemotherapy in Treating Patients With Advanced Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of aminocamptothecin in treating patients       with stage III or stage IV non small cell lung cancer,NCT00003154
S9712  Radiation Therapy and Combination Chemotherapy in Treating Patients With Stage III Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Radiation therapy uses high energy x rays to damage tumor       cells  Combining more than one chemotherapy drug with radiation therapy may kill more tumor       cells         PURPOSE  Phase II trial to study the effectiveness of radiation therapy and chemotherapy       consisting of carboplatin  etoposide and paclitaxel in treating patients with newly       diagnosed stage III non small cell lung cancer,NCT00003158
Surgery With or Without Preoperative Chemotherapy in Treating Patients With Resectable Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  It is not yet known if surgery is more effective with or       without preoperative chemotherapy in treating non small cell lung cancer         PURPOSE  This randomized phase III trial is studying surgery and preoperative chemotherapy       to see how well they work compared to surgery alone in treating patients with resectable       non small cell lung cancer,NCT00003159
Radiation Therapy in Treating Patients With Bone Metastases From Breast or Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  It is not yet       known which radiation therapy regimen is more effective for bone metastases         PURPOSE  Randomized phase III trial to compare different radiation therapy regimens in       treating patients who have bone metastases from breast or prostate cancer,NCT00003162
Mitoxantrone and G CSF in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining chemotherapy with G CSF may make tumor cells more       sensitive to the chemotherapy drug and may kill more tumor cells         PURPOSE  Phase I II trial to study the effectiveness of mitoxantrone plus G CSF in treating       patients with metastatic prostate cancer that has not responded to hormone therapy,NCT00003183
Gemcitabine Plus Radiation Therapy or Combination Chemotherapy in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Radiation therapy uses high energy x rays to damage tumor       cells  Combining radiation therapy with chemotherapy may kill more tumor cells         PURPOSE  Phase I II trial to compare the effectiveness of gemcitabine with radiation therapy       alone or following two drug combination chemotherapy in treating patients with stage III       non small cell lung cancer,NCT00003202
Combination Chemotherapy Followed by Surgery in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug with surgery may kill more tumor       cells         PURPOSE  Phase II trial to study the effectiveness of combination chemotherapy with       docetaxel and cisplatin followed by surgery in treating patients with stage IIIA non small       cell lung cancer,NCT00003231
Combination Chemotherapy in Treating Pain in Patients With Hormone Refractory Metastatic Prostate Cancer,RATIONALE  Some drugs used in chemotherapy can reduce the pain experienced by some people       with cancer  Combining more than one drug may be more effective at reducing cancer pain  It       is not known whether receiving combination chemotherapy with clodronate is more effective       than receiving combination chemotherapy without clodronate for hormone refractory metastatic       prostate cancer         PURPOSE  Randomized double blinded phase III trial to compare the effectiveness of       combination chemotherapy using mitoxantrone plus prednisone with or without clodronate in       treating pain in patients with hormone refractory metastatic prostate cancer,NCT00003232
Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Stage III Non small Cell Lung Cancer That Can Not Be Surgically Removed,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Radiation therapy uses high energy x rays to damage tumor       cells  Combining more than one drug with either standard radiation therapy or radiation       therapy given at different times may kill more tumor cells         PURPOSE  Randomized phase III trial to compare the effectiveness of combination chemotherapy       consisting of paclitaxel and carboplatin  plus either standard radiation therapy or       radiation therapy given at different times  in treating patients with stage III non small       cell lung cancer that cannot be surgically removed,NCT00003235
Perillyl Alcohol in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Hormone Therapy,RATIONALE  Drugs used in chemotherapy use different way to stop tumor cells from dividing so       they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of perillyl alcohol in treating patients       with metastatic prostate cancer that has not responded to hormone therapy with androgens,NCT00003238
Standard Therapy Given With or Without Combination Chemotherapy in Treating Patients With Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  It is not known whether giving chemotherapy in addition to       standard therapy is a more effective treatment for lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of standard therapy given       with or without combination chemotherapy in treating patients with non small cell lung       cancer,NCT00003240
Flavopiridol in Treating Patients With Recurrent Prostate Cancer,Phase II trial to study the effectiveness of flavopiridol in treating patients with       recurrent prostate cancer after hormone therapy  Drugs used in chemotherapy use different       ways to stop tumor cells from dividing so they stop growing or die,NCT00003256
Vinorelbine in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of vinorelbine in treating patients with       metastatic prostate cancer that has not responded to hormone therapy,NCT00003259
Irinotecan in Treating Patients With Advanced Gallbladder or Bile Duct Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of irinotecan in treating patients with       advanced gallbladder or bile duct cancer that cannot be removed surgically,NCT00003276
Vaccination Therapy in Treating Patients With Limited Stage Small Cell Lung Cancer,RATIONALE  Vaccines may help the body build an immune response to kill tumor cells         PURPOSE  Randomized phase III trial to compare the effectiveness of vaccination with       monoclonal antibody BEC2 and BCG with that of no further therapy in treating patients who       have limited stage small cell lung cancer,NCT00003279
Radiation Therapy in Treating Patients With Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  It is not yet       known whether standard radiation therapy is more effective than high dose radiation therapy       in treating patients with prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of standard radiation       therapy with that of high dose radiation therapy in treating patients with stage II or stage       III prostate cancer,NCT00003290
Liposomal Doxorubicin in Treating Patients With Liver or Bile Duct Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of liposomal doxorubicin in treating       patients with liver or bile duct cancer,NCT00003296
Cisplatin Plus Etoposide With or Without Paclitaxel in Treating Patients With Extensive Stage Small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells  It is       not yet known whether cisplatin  etoposide  and paclitaxel are more effective than cisplatin       and etoposide alone in treating patients with extensive stage small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of cisplatin plus etoposide       with or without paclitaxel in treating patients with extensive stage small cell lung cancer,NCT00003299
Radiation Therapy Plus Amifostine in Treating Patients With Primary Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Amifostine may       protect normal cells from the side effects of radiation therapy         PURPOSE  Phase II trial to study the effectiveness of radiation therapy plus amifostine in       treating patients with primary prostate cancer,NCT00003307
Brachytherapy in Treating Patients With Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Giving radiation       therapy through seeds implanted into the prostate may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of brachytherapy in treating patients       with stage I or stage II prostate cancer,NCT00003312
Amifostine in Treating Patients With Stage II or Stage III Non small Cell Lung Cancer,RATIONALE  Amifostine may be an effective treatment for the toxic side effects caused by       radiation therapy and chemotherapy  It is not yet known whether chemotherapy and radiation       therapy are more effective with or without amifostine for non small cell lung cancer         PURPOSE  Randomized phase III trial to determine the effectiveness of amifostine in treating       patients who have stage II or stage III non small cell lung cancer that cannot be surgically       removed and who are undergoing chemotherapy and radiation therapy,NCT00003313
Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Stage IIIA Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells        Radiation therapy uses high energy x rays to damage tumor cells  It is not yet known if       combination chemotherapy is more effective with or without radiation therapy for stage IIIA       non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of combination chemotherapy       with or without radiation therapy in treating patients who have stage IIIA non small cell       lung cancer that has been surgically removed,NCT00003317
Hormone Therapy in Treating Patients With Prostate Cancer,RATIONALE  Male hormones can stimulate the growth of prostate cancer cells  Hormone therapy       using flutamide and finasteride may fight prostate cancer by reducing the production of male       hormones         PURPOSE  Phase II trial to study the effectiveness of flutamide and finasteride in treating       prostate cancer patients with high PSA levels who were previously treated with radiation       therapy or radical prostatectomy,NCT00003323
Chemotherapy in Treating Patients Who Have Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  It is not yet known whether mitoxantrone and prednisone are       more effective with or without prinomastat in treating patients with metastatic prostate       cancer         PURPOSE  Randomized phase III trial to determine the effectiveness of mitoxantrone and       prednisone with or without prinomastat in treating patients who have metastatic prostate       cancer that has not responded to hormone therapy,NCT00003343
Diet and PSA Levels in Patients With Prostate Cancer,RATIONALE  The amount of fat  fiber  soy  fruits  vegetables  vitamin E  and green tea in       the diet may affect androgen metabolism in men  This may affect PSA level in patients with       prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of two diets  differing in       fat  fiber  soy  fruit  vegetable  vitamin E  and green tea content  in affecting PSA level       in patients with prostate cancer,NCT00003367
Carboplatin  Paclitaxel  and Radiation Therapy in Treating Patients With Stage III Non small Cell Lung Cancer That Cannot Be Removed During Surgery,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Radiation therapy uses high energy x rays to damage tumor       cells  It is not yet known whether giving chemotherapy before combined chemotherapy and       radiation therapy is more effective than combined chemotherapy and radiation therapy alone       in treating patients with non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of carboplatin and       paclitaxel followed by radiation therapy and chemotherapy with radiation therapy and       chemotherapy alone in treating patients with stage III non small cell lung cancer that       cannot be removed during surgery,NCT00003387
Monoclonal Antibody Therapy in Treating Patients With Prostate Cancer That Has Not Responded to Hormone Therapy,RATIONALE  Monoclonal antibodies can locate tumor cells and either kill them or deliver       tumor killing substances to them without harming normal cells         PURPOSE  Phase I trial to study the effectiveness of muJ591 monoclonal antibody in treating       patients who have metastatic prostate cancer that has not responded to hormone therapy,NCT00003391
Combination Chemotherapy in Treating Patients With Advanced Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase I II trial to study the effectiveness of combination chemotherapy consisting       of estramustine  paclitaxel  and carboplatin in treating patients with advanced prostate       cancer,NCT00003394
Radiation Therapy in Treating Patients With Bile Duct  Gallbladder  or Pancreatic Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  Motexafin       gadolinium may increase the effectiveness of radiation therapy by making tumor cells more       sensitive to treatment         PURPOSE  Phase I trial to study the effectiveness of radiation therapy plus motexafin       gadolinium in treating patients with bile duct  gallbladder  or pancreatic cancer that       cannot be removed surgically,NCT00003411
Paclitaxel With or Without Trastuzumab in Treating Patients With or Without HER 2 Neu Breast Cancer That is Inoperable  Recurrent  or Metastatic,This randomized phase III studies how well two different regimens of paclitaxel with or       without trastuzumab works in treating patients with or without HER 2 Neu breast cancer that       is inoperable  recurrent  or metastatic  Drugs used in chemotherapy  such as paclitaxel  use       different ways to stop tumor cells from dividing so they stop growing or die  Monoclonal       antibodies  such as trastuzumab  can locate tumor cells and either kill them or deliver       tumor killing substances to them without harming normal cells  It is not yet known what       regimen of paclitaxel is more effective with or without trastuzumab in treating patients       with breast cancer,NCT00003440
Vinorelbine and or Gemcitabine in Treating Older Patients With Stage IIIB or Stage IV Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Randomized phase III trial to compare the effectiveness of vinorelbine        gemcitabine  or both in treating patients who have stage IIIB or stage IV non small cell       lung cancer,NCT00003447
Gene Therapy in Treating Patients With Advanced Recurrent or Persistent Ovarian Cancer or Primary Peritoneal Cancer,RATIONALE  Inserting the p53 gene into a person s cancer cells may improve the body s       ability to fight cancer or make the cancer more sensitive to chemotherapy         PURPOSE  Phase I trial to study the effectiveness of gene therapy using the p53 gene in       treating patients with advanced recurrent or persistent ovarian cancer or primary peritoneal       cavity cancer,NCT00003450
Antineoplaston Therapy in Treating Patients With Stage IV Non Small Cell Lung Cancer,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial studies the effectiveness of antineoplaston capsules in       treating patients who have stage IV non small cell lung cancer,NCT00003497
Antineoplaston Therapy in Treating Patients With Metastatic  Recurrent  or Refractory Neuroblastoma,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial studies the effectiveness of antineoplaston therapy in treating       patients who have metastatic  recurrent  or refractory neuroblastoma,NCT00003513
Antineoplaston Therapy in Treating Patients With Stage III or Stage IV Prostate Cancer,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial studies the effectiveness of antineoplaston therapy in treating       patients who have stage III or stage IV prostate cancer,NCT00003516
Antineoplaston Therapy in Treating Patients With Stage III or Stage IV Prostate Cancer,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial is studying how well antineoplaston therapy works in treating       patients with stage III or stage IV prostate cancer,NCT00003517
Antineoplaston Therapy in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial studies the effectiveness of antineoplaston therapy in treating       patients who have metastatic prostate cancer that has not responded to hormone therapy,NCT00003533
Antineoplaston Therapy in Treating Patients With Refractory Stage IV Prostate Cancer,RATIONALE  Antineoplastons are naturally occurring substances that may also be made in the       laboratory  Antineoplastons may inhibit the growth of cancer cells         PURPOSE  This phase II trial studies the effectiveness of antineoplaston therapy in treating       patients who have refractory stage IV prostate cancer,NCT00003534
Dolastatin 10 in Treating Patients With Metastatic Or Recurrent Liver  Bile Duct  or Gallbladder Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of dolastatin 10 in treating patients       with metastatic or recurrent liver  bile duct  or gallbladder cancer,NCT00003557
Docetaxel Plus Carboplatin in Treating Patients With Stage IIIB or Stage IV Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of combining docetaxel and carboplatin in       treating patients who have stage IIIB or stage IV non small cell lung cancer,NCT00003562
Thoracoscopy in Patients With Stage IIIA Non Small Cell Lung Cancer,RATIONALE  Diagnostic procedures such as thoracoscopy may help to measure a patient s       response to previous treatment         PURPOSE  Diagnostic trial to determine the accuracy of thoracoscopy in patients who have       stage IIIA non small cell lung cancer,NCT00003566
S9806  Combination Chemotherapy in Treating Patients With Stage IIIB or Stage IV Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Randomized phase II trial to study the effectiveness of two different combination       chemotherapy regimens in treating patients who have stage IIIB or stage IV non small cell       lung cancer,NCT00003587
Gene Therapy in Treating Patients With Ovarian Cancer,Phase I trial to study the effectiveness of gene therapy in treating patients with ovarian       cancer that has not responded to previous treatment  Inserting the p53 gene into a person s       cancer cells may improve the body s ability to fight cancer or make the cancer cells more       sensitive to treatment,NCT00003588
Combination Chemotherapy in Treating Patients With Advanced Non small Cell Lung Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells  It is       not yet known which combination chemotherapy regimen is more effective in treating advanced       non small cell lung cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of three different       combination chemotherapy regimens in treating patients who have advanced non small cell lung       cancer,NCT00003589
Radiation Therapy in Treating Patients With Stage I  Stage II  or Stage III Prostate Cancer,RATIONALE  Radiation therapy uses high energy x rays to damage tumor cells  It is not yet       known whether radiation therapy to the prostate and pelvis is more effective than radiation       therapy to the prostate alone in treating prostate cancer         PURPOSE  Randomized phase III trial to compare the effectiveness of radiation therapy to the       prostate with or without radiation to the pelvis in treating patients with stage I  stage       II  or stage III prostate cancer,NCT00003607
Combination Chemotherapy and Trastuzumab in Treating Women With Metastatic Breast Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells        Monoclonal antibodies such as trastuzumab can locate tumor cells and either kill them or       deliver tumor killing substances to them without harming normal cells         PURPOSE  Phase II trial to study the effectiveness of combining paclitaxel  carboplatin  and       trastuzumab in treating women who have metastatic breast cancer that overexpresses HER2,NCT00003612
Paclitaxel Plus Estramustine in Treating Patients With Metastatic Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  Phase II trial to study the effectiveness of paclitaxel plus estramustine in       treating patients who have metastatic prostate cancer that has not responded to hormone       therapy,NCT00003614
Vinorelbine Plus Paclitaxel in Treating Patients With Metastatic Prostate Cancer That Is Refractory to Hormone Therapy,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of vinorelbine plus paclitaxel in       treating patients with metastatic prostate cancer that is refractory to hormone therapy,NCT00003622
Dolastatin 10 in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Previous Hormone Therapy,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die         PURPOSE  Phase II trial to study the effectiveness of dolastatin 10 in treating patients       with metastatic prostate cancer that has not responded to previous hormone therapy,NCT00003626
Combination Chemotherapy in Treating Patients With Advanced Prostate Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells         PURPOSE  This phase I trial is studying the side effects and best dose of combination       chemotherapy in treating patients with advanced prostate cancer,NCT00003633
Combination Chemotherapy in Treating Men With Germ Cell Cancer,RATIONALE  Drugs used in chemotherapy use different ways to stop tumor cells from dividing       so they stop growing or die  Combining more than one drug may kill more tumor cells  It is       not yet known which regimen of combination chemotherapy may be more effective for germ cell       cancer         PURPOSE  This randomized phase II III trial is studying two different regimens of       combination chemotherapy and comparing how well they work in treating men with germ cell       cancer,NCT00003643
Randomized Trial of Adjuvant Hormonal Therapy in Surgically Treated Prostate Cancer Patients at High Risk for Recurrence,RATIONALE  Testosterone can stimulate the growth of prostate cancer cells  Hormone therapy       using leuprolide and flutamide may fight prostate cancer by reducing the production of       testosterone  It is not yet known whether receiving leuprolide and flutamide is more       effective than receiving no further therapy         PURPOSE  Randomized phase III trial to determine the effectiveness of hormone therapy in       treating patients who have stage I or stage II prostate cancer that is at high risk of       recurrence and who have already undergone surgery,NCT00003645
